2025-11-28 11:38:28,928 INFO Writing to output/ip_locations_0001.csv
2025-11-28 11:40:36,919 INFO Processed 312000 (skipped 0, errors 0)
2025-11-28 11:40:36,951 INFO Processed 313000 (skipped 0, errors 0)
2025-11-28 11:40:36,984 INFO Processed 314000 (skipped 0, errors 0)
2025-11-28 11:40:37,017 INFO Processed 315000 (skipped 0, errors 0)
2025-11-28 11:40:37,051 INFO Processed 316000 (skipped 0, errors 0)
2025-11-28 11:40:37,083 INFO Processed 317000 (skipped 0, errors 0)
2025-11-28 11:40:37,117 INFO Processed 318000 (skipped 0, errors 0)
2025-11-28 11:40:37,149 INFO Processed 319000 (skipped 0, errors 0)
2025-11-28 11:40:37,180 INFO Processed 320000 (skipped 0, errors 0)
2025-11-28 11:40:37,211 INFO Processed 321000 (skipped 0, errors 0)
2025-11-28 11:40:37,241 INFO Processed 322000 (skipped 0, errors 0)
2025-11-28 11:40:37,272 INFO Processed 323000 (skipped 0, errors 0)
2025-11-28 11:40:37,305 INFO Processed 324000 (skipped 0, errors 0)
2025-11-28 11:40:37,338 INFO Processed 325000 (skipped 0, errors 0)
2025-11-28 11:40:37,370 INFO Processed 326000 (skipped 0, errors 0)
2025-11-28 11:40:37,403 INFO Processed 327000 (skipped 0, errors 0)
2025-11-28 11:40:37,434 INFO Processed 328000 (skipped 0, errors 0)
2025-11-28 11:40:37,470 INFO Processed 329000 (skipped 0, errors 0)
2025-11-28 11:40:37,504 INFO Processed 330000 (skipped 0, errors 0)
2025-11-28 11:40:37,536 INFO Processed 331000 (skipped 0, errors 0)
2025-11-28 11:40:37,572 INFO Processed 332000 (skipped 0, errors 0)
2025-11-28 11:40:37,606 INFO Processed 333000 (skipped 0, errors 0)
2025-11-28 11:40:37,641 INFO Processed 334000 (skipped 0, errors 0)
2025-11-28 11:40:37,674 INFO Processed 335000 (skipped 0, errors 0)
2025-11-28 11:40:37,707 INFO Processed 336000 (skipped 0, errors 0)
2025-11-28 11:40:37,745 INFO Processed 337000 (skipped 0, errors 0)
2025-11-28 11:40:37,778 INFO Processed 338000 (skipped 0, errors 0)
2025-11-28 11:40:37,812 INFO Processed 339000 (skipped 0, errors 0)
2025-11-28 11:40:37,846 INFO Processed 340000 (skipped 0, errors 0)
2025-11-28 11:40:37,883 INFO Processed 341000 (skipped 0, errors 0)
2025-11-28 11:40:37,918 INFO Processed 342000 (skipped 0, errors 0)
2025-11-28 11:40:37,952 INFO Processed 343000 (skipped 0, errors 0)
2025-11-28 11:40:37,989 INFO Processed 344000 (skipped 0, errors 0)
2025-11-28 11:40:38,024 INFO Processed 345000 (skipped 0, errors 0)
2025-11-28 11:40:38,057 INFO Processed 346000 (skipped 0, errors 0)
2025-11-28 11:40:38,089 INFO Processed 347000 (skipped 0, errors 0)
2025-11-28 11:40:38,122 INFO Processed 348000 (skipped 0, errors 0)
2025-11-28 11:40:38,159 INFO Processed 349000 (skipped 0, errors 0)
2025-11-28 11:40:38,193 INFO Processed 350000 (skipped 0, errors 0)
2025-11-28 11:40:38,269 INFO Processed 351000 (skipped 0, errors 0)
2025-11-28 11:40:38,304 INFO Processed 352000 (skipped 0, errors 0)
2025-11-28 11:40:38,340 INFO Processed 353000 (skipped 0, errors 0)
2025-11-28 11:40:38,377 INFO Processed 354000 (skipped 0, errors 0)
2025-11-28 11:40:38,417 INFO Processed 355000 (skipped 0, errors 0)
2025-11-28 11:40:38,451 INFO Processed 356000 (skipped 0, errors 0)
2025-11-28 11:40:38,485 INFO Processed 357000 (skipped 0, errors 0)
2025-11-28 11:40:38,520 INFO Processed 358000 (skipped 0, errors 0)
2025-11-28 11:40:38,555 INFO Processed 359000 (skipped 0, errors 0)
2025-11-28 11:40:38,590 INFO Processed 360000 (skipped 0, errors 0)
2025-11-28 11:40:38,627 INFO Processed 361000 (skipped 0, errors 0)
